dni_medico,nombre_especialidad
38667216,Especialidad_747
60932375,Especialidad_520
50079364,Especialidad_451
31790452,Especialidad_102
22352294,Especialidad_808
77230274,Especialidad_694
62406743,Especialidad_956
19269571,Especialidad_467
90203061,Especialidad_721
69095712,Especialidad_676
73599556,Especialidad_930
47760968,Especialidad_224
94917877,Especialidad_904
20347511,Especialidad_549
44685322,Especialidad_613
64690809,Especialidad_571
99338387,Especialidad_677
47885959,Especialidad_963
96534793,Especialidad_153
98302557,Especialidad_560
57835191,Especialidad_587
11159729,Especialidad_328
96426987,Especialidad_17
83015559,Especialidad_581
46654135,Especialidad_437
19509469,Especialidad_100
96003618,Especialidad_207
78412656,Especialidad_309
40164580,Especialidad_871
91000557,Especialidad_340
92807987,Especialidad_860
39755772,Especialidad_242
25170425,Especialidad_180
22947790,Especialidad_73
32165286,Especialidad_787
31332931,Especialidad_746
87229029,Especialidad_185
73049555,Especialidad_951
42335467,Especialidad_251
26814019,Especialidad_692
75225497,Especialidad_876
49671534,Especialidad_122
87476256,Especialidad_810
74480855,Especialidad_587
33398051,Especialidad_126
76084467,Especialidad_726
62574789,Especialidad_54
50586105,Especialidad_147
66507123,Especialidad_884
83513549,Especialidad_44
58663713,Especialidad_824
85015695,Especialidad_124
31051114,Especialidad_164
15177761,Especialidad_624
91553811,Especialidad_999
23427791,Especialidad_527
60284209,Especialidad_112
61962988,Especialidad_110
75700613,Especialidad_666
99627658,Especialidad_473
76832278,Especialidad_575
31608778,Especialidad_224
25376760,Especialidad_512
63322990,Especialidad_793
98293352,Especialidad_368
40950054,Especialidad_714
40248980,Especialidad_693
83064104,Especialidad_958
10401978,Especialidad_241
35981345,Especialidad_295
28750457,Especialidad_46
34536065,Especialidad_622
45417854,Especialidad_691
28561681,Especialidad_800
64314823,Especialidad_366
35683603,Especialidad_571
41749890,Especialidad_376
12177275,Especialidad_75
66915183,Especialidad_651
94068638,Especialidad_688
32429738,Especialidad_263
54153815,Especialidad_718
52562837,Especialidad_688
90388850,Especialidad_337
51296036,Especialidad_834
48184084,Especialidad_942
74203966,Especialidad_541
93807259,Especialidad_731
73703824,Especialidad_962
14415288,Especialidad_809
98839063,Especialidad_76
34326495,Especialidad_325
56570855,Especialidad_15
56594461,Especialidad_782
82106915,Especialidad_785
81591818,Especialidad_475
15080286,Especialidad_958
20980622,Especialidad_125
67254229,Especialidad_30
18648974,Especialidad_247
58519112,Especialidad_697
25644888,Especialidad_712
95352374,Especialidad_308
77274134,Especialidad_578
75644002,Especialidad_622
75139278,Especialidad_153
63609735,Especialidad_878
15544371,Especialidad_805
12701083,Especialidad_637
80495900,Especialidad_524
38845897,Especialidad_312
16132320,Especialidad_233
91220083,Especialidad_616
47781735,Especialidad_365
58460994,Especialidad_386
53583009,Especialidad_953
55055182,Especialidad_18
81958402,Especialidad_42
52600254,Especialidad_503
43116703,Especialidad_49
27246949,Especialidad_248
49926146,Especialidad_465
91109117,Especialidad_171
