dni_personal,numero_cabina,fecha,horario
51400725,C0001,2025-07-01,mañana
23528852,C0002,2025-07-01,mañana
27363747,C0003,2025-07-01,mañana
50443427,C0004,2025-07-01,mañana
23624362,C0005,2025-07-01,mañana
21050512,C0006,2025-07-01,mañana
15042871,C0007,2025-07-01,mañana
32218939,C0008,2025-07-01,mañana
44471149,C0009,2025-07-01,mañana
29837993,C0010,2025-07-01,mañana
97809344,C0011,2025-07-01,mañana
32273556,C0012,2025-07-01,mañana
99721596,C0013,2025-07-01,mañana
18490151,C0014,2025-07-01,mañana
53861502,C0015,2025-07-01,mañana
42656056,C0016,2025-07-01,mañana
79260818,C0017,2025-07-01,mañana
22515369,C0018,2025-07-01,mañana
38557787,C0019,2025-07-01,mañana
70822599,C0020,2025-07-01,mañana
80547406,C0021,2025-07-01,mañana
36426551,C0022,2025-07-01,mañana
60048091,C0023,2025-07-01,mañana
32226448,C0024,2025-07-01,mañana
97807370,C0025,2025-07-01,mañana
43094515,C0026,2025-07-01,mañana
69059427,C0027,2025-07-01,mañana
39277140,C0028,2025-07-01,mañana
12573979,C0029,2025-07-01,mañana
42945859,C0030,2025-07-01,mañana
68320667,C0031,2025-07-01,mañana
31295143,C0032,2025-07-01,mañana
31035812,C0033,2025-07-01,mañana
53015336,C0034,2025-07-01,mañana
70640719,C0035,2025-07-01,mañana
22617775,C0036,2025-07-01,mañana
21703241,C0037,2025-07-01,mañana
69869188,C0038,2025-07-01,mañana
23899746,C0039,2025-07-01,mañana
66895969,C0040,2025-07-01,mañana
75555055,C0041,2025-07-01,mañana
53878429,C0042,2025-07-01,mañana
23512265,C0043,2025-07-01,mañana
33432970,C0044,2025-07-01,mañana
61605832,C0045,2025-07-01,mañana
65743040,C0046,2025-07-01,mañana
82542877,C0047,2025-07-01,mañana
14142779,C0048,2025-07-01,mañana
75161769,C0049,2025-07-01,mañana
40464927,C0050,2025-07-01,mañana
23935266,C0051,2025-07-01,mañana
94123727,C0052,2025-07-01,mañana
55512967,C0053,2025-07-01,mañana
98930233,C0054,2025-07-01,mañana
32647660,C0055,2025-07-01,mañana
99843074,C0056,2025-07-01,mañana
94326108,C0057,2025-07-01,mañana
67808551,C0058,2025-07-01,mañana
94150841,C0059,2025-07-01,mañana
82640660,C0060,2025-07-01,mañana
38770916,C0061,2025-07-01,mañana
37438505,C0062,2025-07-01,mañana
85255725,C0063,2025-07-01,mañana
29237109,C0064,2025-07-01,mañana
91098030,C0065,2025-07-01,mañana
60024360,C0066,2025-07-01,mañana
95413294,C0067,2025-07-01,mañana
96743261,C0068,2025-07-01,mañana
83211355,C0069,2025-07-01,mañana
